索引號,慣用名,通鑑名,通鑑目錄,出處,女性,別稱,姓,名,字,號,氏,謚,生年,卒年,出生月日,去世月日,得位年,失位年,統治政權,從屬政權,籍貫,作品,相關成語,人物組合,生僻度,簡述,記載年,記載年備註,wiki異名,備注
-1,公沙穆,,,9,,,,,,,,,,,,,,,,,,,杵臼之交,,,與吳祐杵臼之交,,,,
-1,張楷,,,9,,,,,公超,,,,,,,,,,,東漢,,五里霧,,,,張霸子，能做五里霧，隱居慕名成公超市,,,,
-1,周不疑,,,9,,,,,元直|文直,,,,192,208,,,,,,東漢,,,,,,劉先外甥，神童，拒絕曹操嫁女，被曹操殺,,,,
-1,邯鄲淳,,,9,,,,竺,子叔|子淑|子禮,,,,132,221,,,,,,東漢|曹魏,,笑林|曹娥碑,,,,漢末曹魏書法家,,,,
-1,佽飛,游俠,,9,,,,,,,,,,,,,,,,,,,,,,春秋楚國勇士，入水斬蛟,,,,
-1,蓋聶,,,9,,,,,,,,,,,,,,,,,,,,,,劍客，瞅荊軻,,,,
-1,魯句踐,,,9,,,,,,,,,,,,,,,,,,,,,,罵荊軻,,,,
-1,杜雉季,,,9,,,,,,,,,,,,,,,,,,,,,,漢成帝時大俠,,,,
-1,伏生,儒林,,9,,,,,,,,,,,,,,,,,,,,,,漢文帝時，出秦焚書時所藏尚書,,,,
-1,胡毋生,,,9,,,,,,,,,,,,,,,,,,,,,,漢景帝博士，經學家,,,,
-1,摯恂,,,9,,,,,季直,,,,0,0,,,,,,東漢,京兆,,,,,馬融師、老丈人，高士，摯峻十二世孫,,,,
-1,李冰,工匠技師,,9,,,,,,,,,,,,,,,,,,都江堰,,,,都江堰,,,,
-1,李二郎,,,9,,,,,,,,,,,,,,,,,,,,,,李冰子,,,,
-1,莊熊羆,,,9,,嚴熊,,,,,,,0,0,,,,,,西漢,,,,,,漢武帝工匠，修建龍首渠，民工創造井渠法,,,,
-1,陳寶光妻,,,9,,,,,,,,,,,,,,,,,,,,,,發明提花機織，傳授霍顯,,,,
-1,毛延壽,,,9,,,,,,,,,,,,,,,,,,,,,,漢元帝畫工,,,,
-1,氾勝之,,,9,,,,,,,,,,,,,,,,,,氾勝之書,,,,漢成帝議郎,,,,
-1,侯調,,,9,,侯暉,,,,,,,,,,,,,,,,,,,,漢武帝樂人，發明箜篌,,,,
-1,暴辛公,,,9,,,,,,,,,,,,,,,,,,,,,,善塤，訛傳為塤發明者,,,,
-1,蘇成公,,,9,,,,,,,,,,,,,,,,,,,,,,善篪，訛傳為篪發明者,,,,
-1,爰寄生,,,9,,,,,,,,,,,,,,,,,,,,,,馬援門生，善吹笛,,,,
-1,楊子阿,,,9,,,,,,,,,,,,,,,,,成紀,,,,,善相馬，馬援師,,,,
-1,雍門周,,,9,,,,,,,,,,,,,,,,,,,,,,彈琴見孟嘗君,,,,
-1,劉洪,,,9,,算聖,,,元卓,,,,130,196,,,,,,東漢,,乾象歷|算盤,,,,天文學家數學家，北海王劉興後裔,,,,
-1,華佗,,,9,,,,旉,元化,,,,0,0,,,,,,東漢,,青囊書,,建安三神醫,,漢末名醫,,,,卒年早于208
-1,張仲景,,,9,,張機|醫聖,,機,仲景,,,,150,219,,,,,,東漢,,傷寒雜病論,,建安三神醫,,漢末名醫,,,,
-1,董奉,,,9,,,,,君異,拔墘|杏林,,,0,280,,,,,,東漢|孫吳|西晉,,,杏林春暖,建安三神醫,,孫吳名醫,,,,
-1,胡毋敬,,,9,,,,,,,,,,,,,,,,,,,,,,制定小篆,,,,
-1,張芝,,,9,,,,,,,,,,,,,,,,,,,,,,創立狂草,,,,
-1,倉頡,,,9,,,,,,,,,,,,,,,,,,,,,,會寫字，訛傳為造字者,,,,
-1,夏舍,,,9,,,,,,,,,0,228,,,,,,曹魏,,,,,,曹叡鮮卑語翻譯，被鬰築鞬殺,,,,
-1,莊蹻,將領,,9,,,,,,,,,,,,,,,,,,,,,,大盜，楚頃襄王將領，奪取滇，建立滇國,,,,
-1,觸子,,,9,,,,,,,,,,,,,,,,,,,,,,齊湣王大將，參與齊滅宋之戰,,,,
-1,缪虮,,,9,,,,,,,,,,,,,,,,,,,,,,燕國善兵者，與田單、莊蹻、衛鞅齊名（可能就是樂毅）,,,,
-1,羌瘣,,,9,,,,,,,,,,,,,,,,,,,,,,秦末將領，隨王翦伐趙,,,,
-1,辛勝,,,9,,,,,,,,,,,,,,,,,,,,,,秦王政將領，攻燕,,,,
-1,常頞,,,9,,,,,,,,,,,,,,,,,,,,,,秦始皇將領，出使夜郎,,,,
-1,肥銖,,,9,,,,,,,,,,,,,,,,,,,,,,英布副將,,,,
-1,復陸支,,,9,,,,,,,,,,,,,,,,,,,,,,漠北之戰封侯,,,,
-1,伊即軒,,,9,,,,,,,,,,,,,,,,,,,,,,漠北之戰封侯,,,,
-1,祖茂 (東漢),,,9,,,,,,,,,0,0,,,,,,東漢,,,,,,孫堅被徐榮破時，偽裝紅頭巾吸引火力，後金蟬脫殼逃跑,190,梁東之戰,,
-1,釋利房,四夷,,9,,,,,,,,,,,,,,,,,,,,,,見秦始皇宣揚佛法,-243,朱士行《經錄》秦王政四年，西域沙門室利房等十八人，始齎佛經來華；王怪其狀，捕之系獄，旋放逐國外。,,
-1,譯吁宋,,,9,,,,,,,,,,,,,,,,,,,,,,百越西甌王，秦甌戰爭中被殺,,,,
-1,桀駿,,,9,,,,,,,,,,,,,,,,,,,,,,百越將領，替代譯吁宋,,,,
-1,倉海君,,,9,,,,,,,,,,,,,,,,,,,,,,秦時穢人君長，給張良提供刺秦的大力士,,,,
-1,騶寅,,,9,,,,,,,,,,,,,,,,,,,,,,閩越王郢三子，射死首都附近大鱔為民除害後墮水犧牲，成白馬尊王、白馬三郎。,,,,
-1,難兜靡,,,9,,,,,,,,,,,,,,,,,,,,,,初代烏孫國昆莫，被大月氏攻殺,,,,
-1,無弋爰劍,,,9,,,,,,,,,,,,,,,,,,,,,,古羌人領袖，被秦厲公擄獲，逃跑遷至湟水,,,,
-1,伊存,,,9,,,,,,,,,,,,,,,,,,,,,,大月氏使者，漢哀帝元壽元年口授景盧浮屠經，伊存授經,,,,
-1,景盧,,,9,,秦景憲,,,,,,,,,,,,,,,,,,,,漢哀帝博士，元壽元年伊存授經,,,,
-1,東明,,,9,,,,,,,,,,,,,,,,,,,,,,扶餘始祖,,,,
-1,朱蒙,,,9,,,,,,,,,,,,,,,,,,,,,,高句驪始祖,,,,
-1,盤瓠,,,9,,槃瓠|葫蘆狗,,,,,,,,,,,,,,,,,,,,五溪蠻祖先,,,,
-1,安敦,,,9,,Antoninus Pius|大秦王安敦,,,,,,,86,161,9.19,3.7,138,161,大秦,,,,,,,羅馬帝國第15任皇帝，羅馬帝國五賢帝第四位，最早與漢朝進行貿易,,,安敦寧·畢尤,
-1,秦論,,,9,,,,,,,,,0,0,,,,,,大秦,,,,,1,大秦商人，曾謁見孫權,226,《梁书·海南诸国列传》記載,,
-1,正伯僑,方仙道,,9,,,,,,,,,,,,,,,,,,,,,,戰國方仙道人物,,,,
-1,充尚,,,9,,,,,,,,,,,,,,,,,,,,,,戰國方仙道人物,,,,
-1,河上公,,,9,,,,,,,,,,,,,,,,,,,,,,戰國方仙道人物,,,,
-1,韓終,,,9,,,,,,,,,,,,,,,,,,,,,,秦朝方仙道人物,,,,
-1,石生,,,9,,,,,,,,,,,,,,,,,,,,,,秦朝方仙道人物,,,,
-1,蘇非,,,9,,,,,,,,,,,,,,,,,,,,淮南八公,,淮南八公,,,,
-1,李尚,,,9,,,,,,,,,,,,,,,,,,,,淮南八公,,淮南八公,,,,
-1,陳由,,,9,,,,,,,,,,,,,,,,,,,,淮南八公,,淮南八公,,,,
-1,毛周,,,9,,,,,,,,,,,,,,,,,,,,淮南八公,,淮南八公,,,,
-1,晉昌,,,9,,,,,,,,,,,,,,,,,,,,淮南八公,,淮南八公,,,,
-1,茅通,,,9,,,,,,,,,,,,,,,,,,,,,,給梁妠相面大吉大利,,,,
-1,安世高,,,9,,,,清,世高,,,,0,0,,,,,,安息,,,,,,安息國太子，讓位出家，漢桓帝初年來譯經弘法，靈帝時死,,,,
-1,支婁迦讖,,,9,,支讖,,,,,,,,,,,,,,貴霜,,,,,,大乘佛教傳播者，譯師,185,譯首楞嚴經,,
-1,朱建平 (三國),,,9,,,,,,,,,0,0,,,,,,東漢,,,,,,曹魏相士,,,,
-1,于吉,,,9,,,,,,,,,0,200,,,,,,東漢,,,,,,傳說太平清領書作者，被孫策殺,,,,
-1,左慈,,,9,,,,,元放,,,,0,0,,,,,,東漢,,,,,,東漢末方士，善房中術，葛玄師,,,,
-1,費長房,,,9,,,,,,,,,0,0,,,,,,東漢,,,懸壺濟世,,,東漢方士，有縮地術,,,,
-1,魏伯陽,,,9,,,,,,,,,151,221,,,,,,東漢,,周易參同契,,,,魏朗子，東漢煉丹家,,,,
-1,莊子,諸子,,9,,,,,,,,,,,,,,,,,,,,,,道家,,,,
-1,鶡冠子,,,9,,,,,,,,,,,,,,,,,,,,,,楚國隱士，道家,,,,
-1,惠施,,,9,,,,,,,,,,,,,,,,,,,,,,名家代表，合縱，莊子好友,,,,
-1,尉繚,,,9,,,,,,,,,,,,,,,,,,,,,,尉繚子,,,,
-1,慎到,,,9,,,,,,,,,,,,,,,,,,,,,,慎子,,,,
-1,蟣蝨,名人親屬,,9,,,,,,,,,,,,,,,,,,,,,,韓襄王子，韓王信父，與韓釐王爭位失敗,,,,
-1,司馬蒯聵,,,9,,,,,,,,,,,,,,,,,,,,,,趙國劍客，與司馬錯同輩在趙的司馬氏先祖，玄孫或曾孫司馬卬,,,,
-1,季心,,,9,,,,,,,,,,,,,,,,,,,,,,季布弟，游俠,,,,
-1,盧他之,,,9,,,,,,,,,,,,,,,,,,,,,,盧綰孫，世襲東胡盧王，-144年歸漢,,,,
-1,公孫昆邪,,,9,,,,,,,,,,,,,,,,,,,,,,公孫賀祖父，義渠人，文帝時歸漢,,,,
-1,鄭君,,,9,,,,,,,,,,,,,,,,,,,,,,原項羽部下，不服劉邦讓所有人稱呼項羽名被驅逐。鄭當時父,,,,
-1,李季,,,9,,,,,,,,,,,,,,,,,,,,,,李延年弟，因淫亂被滅族,,,,
-1,衛子豪,,,9,,,,,,,,,,,,,,,,,,,,,,衛姬父,,,,
-1,梁伯玉,,,9,,,,,,,,,142,167,,,,,,東漢,,,,,1,梁冀與友通期私生子，被藏於壁中,,,,
-1,越女,眾女,,9,,,,,,,,,,,,,,,,,,,,,,越處女，善劍術，習於袁公。吳越春秋記載,,,,
-1,鐘離春,,,9,,,,,,,,,,,,,,,,,,,,,,齊宣王后，無鹽,,,,
-1,宿瘤女,,,9,,,,,,,,,,,,,,,,,,,,,,齊湣王后,,,,
-1,虞姬,,,9,,,,,,,,,,,,,,,,,,,,,,項羽妃,,,,
-1,毛蘋,,,9,,,,,,,,,,,,,,,,,,,,,,吳芮妃，上邪作者（大概率杜撰）,,,,
-1,許負,,,9,,,,,,,,,,,,,,,,,,,,,,女相師,,,,
-1,劉陵,,,9,,,,,,,,,,,,,,,,,,,,,,淮南王劉安女，口辯，間諜，與張次公通姦,,,,
-1,唐山夫人,,,9,,,,,,,,,,,,,,,,,,,,,,漢高祖寵姬，作房中祠樂,,,,
-1,陽成昭信,,,9,,,陽成,,,,,,,,,,,,,,,,,,,劉去王后，與劉去虐殺其餘姬妾，包括但不限於：王昭平、王地餘、陶望卿、榮愛,,,,
-1,桓少君,,,9,,,,,,,,,,,,,,,,,,,,,,鮑宣妻,,,,
-1,曹娥,,,9,,,,,,,,,130,143,,,,,,,,,,,,143年投江，端午起源之一,,,,
-1,徐淑,,,9,,,,,,,,,,,,,,,,,,,,,,東漢女詩人，夫秦嘉亦詩人,,,,
-1,紹瑪女王,,,9,,蘇摩,,,,,,,,,,,,,,,,,,,,扶南第一任女王，柬埔寨傳說首位國王，那迦蛇王女，與憍陳如一世建立柬埔寨。可能即梁書中柳葉,,,,
-1,皇甫規妻,,,9,,,,,,,,,,,,,,,,,,,,,,扶風馬氏，大罵董卓被打死,,,,
-1,友通期,,,9,,支通期,,,通期,,,,,,,,,,,,,,,,,漢順帝後宮，梁冀情人，生梁伯玉，被孫壽殺，藏子壁中,,,,
-1,緱玉,,,9,,,,,,,,,0,0,,,,,,東漢,,,,,,漢桓帝時孝女，從母兄弟殺其父，為父報仇殺之，申屠蟠求情赦之,,,,
-1,杜夫人,,,9,,,,,,,,,0,0,,,,,,東漢,,,,,,秦宜祿妻，關羽屢次請求被曹操強占，生曹林、曹袞、金鄉公主,,,,
-1,衛鑠,,,9,,衛夫人,,,茂猗,和南,,,272,349,,,,,,東晉,,,,,,鍾繇弟子，王羲之師,,,,
-1,王宋,,,9,,,,,,,,,0,0,,,,,,東漢,,,,,,廬江太守劉勳妻，因新歡司馬氏被休，作詩二首,,,,
-1,蔡琰,,,9,,蔡文姬,,,昭姬|文姬,,,,177,249,,,,,,東漢|南匈奴|東漢,,,,,,蔡邕女,,,,
-1,大橋,,,9,,大喬,,,,,,,0,0,,,,,,東漢,,,,,,橋公之女，孫策妾,199,策自納大喬，瑜納小喬,,
-1,小橋,,,9,,小喬,,,,,,,0,0,,,,,,東漢,,,,,,橋公之女，周瑜妾,199,策自納大喬，瑜納小喬,,
-1,辛追,考古發掘,,9,,,,,,,,,,,,,,,,,,,,,,-217至-168，馬王堆1號,,,,
-1,利蒼,,,9,,,,,,,,,,,,,,,,,,,,,,0至-185，馬王堆2號，長沙王吳臣丞相,,,,
-1,利豨,,,9,,,,,,,,,,,,,,,,,,,,,,利蒼辛追子，馬王堆3號,,,,
-1,竇綰,,,9,,,,,,,,,,,,,,,,,,,,,,劉勝妻竇綰，墓出長信宮燈,,,,
-1,凌惠平,,,9,,,,,,,,,,,,,,,,,,,,,,連云港漢代古墓出土女尸，約西漢末王莽時期,,,,
-1,龍陽君,男寵,,9,,,,,,,,,,,,,,,,,,,,,,魏安釐王男寵，龍陽之好來源,,,,
-1,閎孺,,,9,,,,,,,,,,,,,,,,,,,,,,惠帝男宠,,,,
-1,宦官趙同,,,9,0,趙談,,,,,,,,,,,,,,,,,,,,文帝男宠，宦官,,,,
-1,北宮伯子,,,9,0,,,,,,,,,,,,,,,,,,,,,文帝男宠，宦官,,,,
-1,慶安世,,,9,,,,,,,,,,,,,,,,,,,,,,漢成帝侍郎，趙飛燕男寵,,,,
-1,韓廬,非人類,,9,,,,,,,,,,,,,,,,,,,,,,齊威王時期天下俊犬,,,,
-1,東郭狻,,,9,,,,,,,,,,,,,,,,,,,,,,齊威王時期天下狡兔,,,,
-1,赤松子,赤松子,,9,,,,,,,,,,,,,,,,,,,,喬松,,秦漢傳說仙人，張良自稱從游,,,,通鑒提及，不錄
-1,王子喬,僑,,9,,王僑,,,,,,,,,,,,,,,,,,,,秦漢傳說仙人，周靈王太子，與赤松子并列為長生不老代表,,,,
-1,太一,,,9,,,,,,,,,,,,,,,,,,,,,,太一神,,,,通鑒提及，不錄
1,周威烈王,威烈王,10101,,,,姬,午,,,,威烈,0,-402,,,-425,-402,東周,,,,,,,東周第20代君主，在位期間三家分晉,,,,
2,魏文侯,魏斯|魏文侯|文侯,10101,,,,,斯,,,魏,文,0,-396,,,-445,-396,魏國,,,,,,,魏國開國君主，李悝變法，滅中山,,,,
3,趙烈侯,趙籍|烈侯,10101,,,,,籍,,,趙,烈,0,-400,,,-408,-400,趙國,,,,,,,趙國開國君主,,,,
4,韓景侯,韓虔,10101,,,,,虔,,,韓,景,0,-400,,,-408,-400,韓國,,,,,,,韓國開國君主,,,,
5,司馬光,光,10101,1,,涑水先生|司馬溫公,司馬,光,君實,迂叟,,文正,1019,1086,11.17,10.11,,,,北宋,,資治通鑑,,,,宋仁宗至哲宗大臣，資治通鑑主編,,,,
6,周文王,文王|文|周文王|西伯|姬文,10101,1,,,姬,昌,,,,文,-1125,-1051,,,,,,商朝,,,,,,紂王三公，推演周易，為武王伐紂奠定基礎,,,,
7,孔子,孔子|仲尼|孔,10101,1,,,子,丘,仲尼,,孔,至聖先師,-551,-479,9.28,4.11,,,,魯國,,論語,,,,開創儒家學派,,,,
8,桀,桀|夏桀,10101,1,,,姒,履癸,,,夏后,桀,0,0,,,,,夏朝,,,,,,,夏朝末代君主,,,,
9,帝辛,紂|商紂|殷紂|殷王紂,10101,1,,紂王,子,受|受德,,,,紂,0,-1046,,,-1075,-1047,商朝,,,,,,,商朝末代君主,,,,
10,商湯,湯|成湯,10101,1,,,子,履,,,,,0,0,,,,,商朝,,,,,,,商朝開國君主,,,,16??-15??
11,周武王,武|武王|周武,10101,1,,,姬,發,,,,武,-1110,-1043,,,-1046,-1043,西周,,,,,,,西周開國君主，滅商,,,,
12,微子,微子|微子開,10101,1,,微子啟,子,啟,,,,,0,0,,,,,,商朝|西周,,,,殷末三仁,,宋國開國君主，紂長兄，棄商從周,,,,
13,季札,季札|延陵|延陵季子|吳札,10101,1,,,姬,札,,,,,0,0,,,,,,吳國,,,,,,吳國王室，死活不上位,,,,
14,泰伯,太伯,10101,1,,吳太伯,姬,泰伯,,,吳,,0,0,,,,,吳國,,,,,,,吳國首任君主,,,,
15,仲叔于奚,仲叔于奚,10101,1,,,仲叔,于奚,,,,,0,0,,,,,,衛國,,,,,1,拒絕封地要當官,,,,
16,衛出公,衛君,10101,1,,,姬,輒,,,,出,0,-456,,,-493,-481,衛國,,,,,,,衛國第29代君主,,,,-477至-470復位
17,周幽王,幽|周幽|幽王,10101,1,,,姬,宮涅,,,,幽,0,-771,,,-782,-771,西周,,,,,,,西周末代君主,,,,
18,周厲王,厲|周王,10101,1,,,姬,胡,,,,厲,-890,-828,,,-877,-828,西周,,,,,,,西周第10代君主,,,,
19,晉文公,晉文公|文|晉文|文公|重耳,10101,1,,,姬,重耳,,,晉,文,-697,-628,,10.27,-636,-628,晉國,,,,,,,春秋五霸之二,,,,
20,周襄王,襄王|周襄王,10101,1,,,姬,鄭,,,,襄,0,-619,,,-652,-619,東周,,,,,,,東周第6代君主，不能事母，子帶之亂,,,,
21,季成子,季氏|公子季友|季友|季子,10101,1,,季友,姬,友,,,,成,0,-644,,,,,,魯國,,,,,,除慶父立魯僖公，魯國三桓專權，季友立僖公，行父逐東門氏，意如逐昭公,,,,
22,田成子,田常|陳成子,10101,1,,陳恆|田恆,媯,恆,,,田,成,0,0,,,,,,齊國,,,,,,田氏代齊奠基者，色魔兼綠帽王,,,,
23,白公勝,白公|白公勝,10101,1,,,羋,勝,,,熊,,0,-479,,,,,,楚國,,,,,,發動白公勝之亂,,,,
24,齊桓公,桓|齊桓公|桓公|齊桓,10101,1,,,姜,小白,,,齊,桓,0,-643,,10.7,-685,-643,齊國,,,,,,,春秋五霸之一,,,,
25,荀申,智宣子,10102,3,,,,申,,,智,宣,0,0,,,,,,晉國,,,,,,智氏第六代家主,,,,
26,荀瑤,智伯|瑤|智襄子|智伯瑤,10102,3,,智瑤,,瑤,,,智,襄,0,-453,,,,,,晉國,,,,,,智氏末代家主,,,,
27,知果,智果|輔果,10102,3,,,,果,,,智,,0,0,,,,,,晉國,,,,,,智伯軍師，開創輔氏,,,,
28,知宵,宵,10102,3,,智宵,,宵,,,智,,0,0,,,,,,晉國,,,,,,智伯哥,,,,
29,趙簡子,趙簡子|趙鞅,10102,3,,,,鞅,,,趙,簡,0,-476,,,,,,晉國,,,,簡襄之烈,,春秋趙氏領袖,,,,
30,趙伯魯,伯魯,10102,3,,,,伯魯,,,趙,,0,0,,,,,,晉國,,,,,,趙襄子哥，資質平庸,,,,
31,趙襄子,無恤|趙襄子|襄子,10102,3,,趙無恤,,無恤|毋恤,,,趙,襄,0,-444,,,,,,晉國,,,,簡襄之烈,,春秋趙氏領袖，滅智氏,,,,
32,尹鐸,尹鐸,10102,3,,,,鐸,,,尹,,0,0,,,,,,晉國,,,,,1,趙簡子家臣，治晉陽留退路,,,,
33,韓康子,韓康子|康子,10102,3,,韓虎,,虎,,,韓,康,0,0,,,,,,晉國,,,,,,春秋韓氏領袖，滅智氏,,,,
34,魏桓子,魏桓子|桓子,10102,3,,,,駒,,,魏,桓,0,-446,,,,,,晉國,,,,,,春秋魏氏領袖，滅智氏,,,,
35,段規,段規,10102,3,,,姬,規,,,段,,0,0,,,,,,晉國,,,,,,韓康子策士,,,,
36,智國,智國,10102,3,,,,國,,,智,,0,0,,,,,,晉國,,,,,,勸諫智伯,,,,
37,任章,任章,10102,3,,趙葭,,章,,,任,,0,0,,,,,,晉國,,,,,,魏桓子家臣,,,,
38,絺疵,絺疵,10102,3,,,,疵,,,絺,,0,0,,,,,,晉國,,,,,1,智伯謀士，不為用,,,,
39,張孟談,張孟談,10102,3,,,姬,孟談,,,張,,0,0,,,,,,晉國,,,,,,趙襄子家臣,,,,
40,豫讓,豫讓,10103,3,,,,,,,,,0,-445,,,,,,晉國,,,,,,智伯家臣，刺趙襄子,,,,
41,趙周,代成君,10104,,,代成君,,周,子起,,趙,,0,0,,,,,,晉國,,,,,,趙伯魯子,,,,
42,趙獻子,浣|獻子,10104,,,趙浣|趙獻侯,,浣,,,趙,獻,0,-409,,,-423,-409,趙國,,,,,,,戰國趙氏領袖，第7代,,,,
43,趙桓子,桓子,10104,,,,,嘉,,,趙,桓,0,-424,,,-442,-424,趙國,,,,,,,戰國趙氏領袖，第8代,,,,在位時間有爭議
44,子夏,卜子夏|夏|子夏,10105,,,卜商,,商,子夏,,卜,,-507,0,,,,,,魏國,,,學而優則仕,孔門十哲|游夏,,李悝吳起老師，善文學,,,,
45,田子方,田子方|子方,10105,,,,,子方,,,田,,0,0,,,,,,魏國,,,,,,儒家，子貢學生，收養魏文侯老馬,-403,,,
46,段干木,段干木,10105,,,,,木,,,段干,,0,0,,,,,,魏國,,,,,,儒家，子夏學生，出身大駔,-403,,,
47,樂羊,樂羊,10105,,,,,羊,,,樂,,0,0,,,,,,魏國,,,,,,魏名將，滅中山，食子,-403,,,東漢樂羊子妻為重名人物，此樂羊食子
48,魏武侯,繫|子繫|太子繫|武侯|魏武侯,10105,,,,,繫,,,魏,武,0,-370,,,-395,-370,魏國,,,,,,,魏國第2代君主,,,,
49,任座,任座,10105,,,,,座,,,任,,0,0,,,,,,魏國,,,,,1,魏文侯謀士，耿直,-403,,,
50,翟璜,翟璜|璜,10105,,,,,璜,,,翟,,0,0,,,,,,魏國,,,,,,魏國國相，人力大牛,-403,,,
