索引號,卷名一,卷名二,節名,起始,結束,起始年,結束年,備注
10305,卷三,周紀三,燕昭王招賢,燕人共立太子平,蜀相殺蜀侯,,,
10306,卷三,周紀三,張儀連橫六國,秦惠王使人告楚懷王,燕王請獻常山之尾五城以和,,,
10307,卷三,周紀三,張儀死及評縱橫家,張儀歸報,非吾徒之才也,,,
10308,卷三,周紀三,宜陽之戰及舉鼎絕臏,秦王使甘茂誅蜀相莊,實宣太后,,,
10309,卷三,周紀三,胡服騎射,趙武靈王北略中山之地,而招騎射焉,,,
10310,卷三,周紀三,宣太后外戚及武靈王傳國,秦昭王使向壽平宜陽,秦人大驚,,,
10311,卷三,周紀三,楚懷王被囚,齊王、魏王會于韓,楚人立之,,,
10312,卷三,周紀三,雞鳴狗盜,秦王聞孟嘗君之賢,孟嘗君乃得脫歸,,,
10313,卷三,周紀三,公孫龍受絀,楚人告於秦曰,公孫龍由是遂絀,,-298,
10401,卷四,周紀四,至赧王二十年,楚懷王亡歸,酺五日,-297,,
10402,卷四,周紀四,沙丘之亂,趙主父封其長子章於代,故亂起,,,
10403,卷四,周紀四,論秦欺楚,秦樓緩免相,是其所以危也,,,
10404,卷四,周紀四,桀宋滅亡,秦魏冉謝病免,死於溫,,,
10405,卷四,周紀四,樂毅伐齊,秦王會楚王於宛,不善擇者人制之,,,
10406,卷四,周紀四,殺淖齒立齊襄,樂毅聞畫邑人王蠋賢,王已立在莒矣,,,
10407,卷四,周紀四,完璧歸趙,趙王得楚和氏璧,趙王以相如為上大夫,,,
10408,卷四,周紀四,至赧王三十六年,衛嗣君薨,取鄢、鄧、西陵,,,
10409,卷四,周紀四,澠池之會,秦王使使者告趙王,遂為刎頸之交,,,
10410,卷四,周紀四,田單復國,初，燕人攻安平,君王后亦不以不見故失人子之禮,,,
10411,卷四,周紀四,樂毅田單後事,趙王封樂毅於觀津,狄人乃下,,,
10412,卷四,周紀四,至赧王四十一年,初，齊湣王既滅宋,子頃公讎立,,,
10413,卷四,周紀四,華陽之戰,趙人、魏人伐韓華陽,子桓惠王立,,,
10414,卷四,周紀四,春申連秦楚,韓、魏既服於秦,約親於楚,,-273,
10501,卷五,周紀五,閼與之戰,楚以左徒黃歇侍太子完為質於秦,以許歷爲國尉,-272,,
10502,卷五,周紀五,遠交進攻,穰侯言客卿竈於秦王,與謀兵事,,,
10503,卷五,周紀五,范雎用事,秦中更胡傷攻趙閼與,雎真傾危之士哉,,,
10504,卷五,周紀五,觸龍說趙太后,秦王以子安國君為太子,秦師退,,,
10505,卷五,周紀五,春申歸楚,齊安平君田單將趙師以伐燕,楚人納州於秦以平,,,
10506,卷五,周紀五,長平之戰,武安君伐韓,趙人大震,,,
10507,卷五,周紀五,應侯武安構隙,十月，武安君分軍為三,武安君由是與應侯有隙,,,
10508,卷五,周紀五,虞卿拒事秦,趙王將使趙郝約事於秦,趙王封虞卿以一城,,,
10509,卷五,周紀五,子順相魏,秦之始伐趙也,天下其盡爲秦乎,,,
10510,卷五,周紀五,范雎報仇,秦王欲爲應侯必報其仇,不任行,,,
10511,卷五,周紀五,邯鄲之戰起,正月，王陵攻邯鄲,乃以王齕代王陵,,,
10512,卷五,周紀五,毛遂自薦,趙王使平原君求救於楚,魏王亦使將軍晉鄙將兵十萬救趙,,,
10513,卷五,周紀五,義不帝秦,秦王使謂魏王曰,不敢復言帝秦矣,,,
10514,卷五,周紀五,竊符救趙,燕武成王薨,終身不復見,,,
10515,卷五,周紀五,呂不韋獻趙姬,秦太子之妃曰華陽夫人,因更其名曰楚,,,
10516,卷五,周紀五,周赧王崩,秦將軍摎伐韓,赧王崩,,-256,
20101,卷六,秦紀一,蔡澤上任,河東守王稽坐與諸侯通,澤爲相數月，免,-255,,
20102,卷六,秦紀一,荀子議兵,楚春申君以荀卿爲蘭陵令,非爭奪也,,,
20103,卷六,秦紀一,至昭襄王五十六年,燕孝王薨,韓王縗絰入弔祠,,,
20104,卷六,秦紀一,鄗代之戰,燕王喜使栗腹約歡於趙,趙師乃解去,,,
20105,卷六,秦紀一,魯仲連避祿,趙平原君卒,則自然也,,,
20106,卷六,秦紀一,至莊襄王三年,呂不韋爲相國,初置太原郡,,,
20107,卷六,秦紀一,信陵歸魏,蒙驁帥師伐魏,抑之而還,,,
20108,卷六,秦紀一,縮高死國,安陵人縮高之子仕於秦,請再拜辭罪,,,
20109,卷六,秦紀一,信陵餘年及始皇初立,王使人行萬金於魏以間信陵君,蒙驁擊定之,,,
20110,卷六,秦紀一,鄭國渠,韓欲疲秦人,關中由是益富饒,,,
20111,卷六,秦紀一,廉頗老矣,麃公將卒攻卷,取十二城,,,
20112,卷六,秦紀一,李牧破匈奴及諸戎狄故事,趙王以李牧爲將,及戰國之末而匈奴始大,,,
20113,卷六,秦紀一,至始皇帝九年,春，蒙驁伐魏,取衍氏,,,
20114,卷六,秦紀一,嫪毐之亂,初，王即位，年少,復爲母子如初,,,
20115,卷六,秦紀一,李園進妹,楚考列王無子,何其益乎,,,
20116,卷六,秦紀一,諫逐客書,王以文信侯奉先王功大,卒兼天下,,,
20117,卷六,秦紀一,至始皇帝十四年,趙人伐燕,取宜安、平陽、武城,,,
20118,卷六,秦紀一,殺韓非,韓王納地效璽,烏足愍哉,,,
20119,卷六,秦紀一,至始皇帝十九年,王大興師伐趙,子假立,,,
20120,卷六,秦紀一,刺秦上,燕太子丹怨王,使入秦,,-228,
20201,卷七,秦紀二,刺秦下,荊軻至咸陽,王復進兵攻之,-227,,
20202,卷七,秦紀二,秦滅魏,王賁伐楚,王義而許之,,,
20203,卷七,秦紀二,秦滅楚,李信攻平輿,以其地置楚郡,,,
20204,卷七,秦紀二,滅燕趙定百越,大興兵,天下大酺,,,
20205,卷七,秦紀二,秦滅齊,初，齊君王后賢,豈不悖哉,,,
20206,卷七,秦紀二,初為皇帝,王初并天下,治馳道於天下,,,
20207,卷七,秦紀二,東巡,始皇東行郡、縣,遂自南郡由武關歸,,,
20208,卷七,秦紀二,築長城,初，韓人張良,築長城及處南越地,,,
20209,卷七,秦紀二,焚書建阿房,丞相李斯上書曰,皆復不事十歲,,,
20210,卷七,秦紀二,坑方士,盧生說始皇曰,使扶蘇北監蒙恬軍於上郡,,,
20211,卷七,秦紀二,始皇病,有隕石於東郡,至平原津而病,,,
20212,卷七,秦紀二,始皇死,始皇惡言死,太子胡亥襲位,,,
20213,卷七,秦紀二,始皇後事,九月，葬始皇於驪山,斯亦足稱也,,,
20214,卷七,秦紀二,二世屠宗室,冬，十月，戊寅，大赦,咸陽三百里內不得食其谷,,,
20215,卷七,秦紀二,陳勝王,秋，七月,號張楚,,,
20216,卷七,秦紀二,陳勝驕,當是時,先生無累焉,,,
20217,卷七,秦紀二,攻秦敗割據成,周文行收兵至關,狄人田儋起兵於齊,,,
20218,卷七,秦紀二,劉邦早年,劉邦，字季,以應諸侯,,,
20219,卷七,秦紀二,項羽早年,項梁者,籍是時年二十四,,,
20220,卷七,秦紀二,六國復立,田儋者,衛絕嗣,,-209,
20301,卷八,秦紀三,陳勝敗,冬，十月，泗川監平將兵圍沛公於豐,此其所以敗也,-208,,
20302,卷八,秦紀三,群雄并起,陳王故涓人將軍呂臣為蒼頭軍,終不肯出兵,,,
20303,卷八,秦紀三,腰斬李斯,郎中令趙高恃恩專恣,事無大小皆決焉,,,
20304,卷八,秦紀三,定陶之戰至鉅鹿之戰,項梁已破章邯於東阿,諸侯皆屬焉,,,
20305,卷八,秦紀三,章邯降楚,於是趙王歇及張耳乃得出鉅鹿城謝諸侯,引兵從項羽,,,
20306,卷八,秦紀三,望夷宮之變,初，中丞相趙高欲專秦權,以黔首葬二世社南宜春苑中,,,
20307,卷八,秦紀三,立子嬰,九月，趙高令子嬰齋戒,秦兵大敗,,-207,
30101,卷九,漢紀一,秦亡及約法三章,冬，十月，沛公至霸上,於是楚軍夜擊阬秦卒二十餘萬人新安城南,-206,,
30102,卷九,漢紀一,鴻門宴,或說沛公曰,立誅殺曹無傷,,,
30103,卷九,漢紀一,火燒阿房及十八諸侯,居數日,封十萬戶侯,,,
30104,卷九,漢紀一,,漢王怒,,,,
30105,卷九,漢紀一,,,,,,
30106,卷九,漢紀一,,,,,,
30107,卷九,漢紀一,,,,,,
302,卷十,漢紀二,,,,,,
303,卷十一,漢紀三,,,,,,
304,卷十二,漢紀四,,,,,,
305,卷十三,漢紀五,,,,,,
306,卷十四,漢紀六,,,,,,
307,卷十五,漢紀七,,,,,,
308,卷十六,漢紀八,,,,,,
309,卷十七,漢紀九,,,,,,
310,卷十八,漢紀十,,,,,,
311,卷十九,漢紀十一,,,,,,
312,卷二十,漢紀十二,,,,,,
313,卷二十一,漢紀十三,,,,,,
314,卷二十二,漢紀十四,,,,,,
315,卷二十三,漢紀十五,,,,,,
316,卷二十四,漢紀十六,,,,,,
317,卷二十五,漢紀十七,,,,,,
318,卷二十六,漢紀十八,,,,,,
319,卷二十七,漢紀十九,,,,,,
320,卷二十八,漢紀二十,,,,,,
321,卷二十九,漢紀二十一,,,,,,
322,卷三十,漢紀二十二,,,,,,
323,卷三十一,漢紀二十三,,,,,,
324,卷三十二,漢紀二十四,,,,,,
325,卷三十三,漢紀二十五,,,,,,
326,卷三十四,漢紀二十六,,,,,,
327,卷三十五,漢紀二十七,,,,,,
328,卷三十六,漢紀二十八,,,,,,
329,卷三十七,漢紀二十九,,,,,,
330,卷三十八,漢紀三十,,,,,,
331,卷三十九,漢紀三十一,,,,,,
332,卷四十,漢紀三十二,,,,,,
333,卷四十一,漢紀三十三,,,,,,
334,卷四十二,漢紀三十四,,,,,,
335,卷四十三,漢紀三十五,,,,,,
336,卷四十四,漢紀三十六,,,,,,
337,卷四十五,漢紀三十七,,,,,,
338,卷四十六,漢紀三十八,,,,,,
339,卷四十七,漢紀三十九,,,,,,
340,卷四十八,漢紀四十,,,,,,
341,卷四十九,漢紀四十一,,,,,,
342,卷五十,漢紀四十二,,,,,,
343,卷五十一,漢紀四十三,,,,,,
344,卷五十二,漢紀四十四,,,,,,
345,卷五十三,漢紀四十五,,,,,,
346,卷五十四,漢紀四十六,,,,,,
347,卷五十五,漢紀四十七,,,,,,
348,卷五十六,漢紀四十八,,,,,,
349,卷五十七,漢紀四十九,,,,,,
350,卷五十八,漢紀五十,,,,,,
351,卷五十九,漢紀五十一,,,,,,
352,卷六十,漢紀五十二,,,,,,
353,卷六十一,漢紀五十三,,,,,,
354,卷六十二,漢紀五十四,,,,,,
355,卷六十三,漢紀五十五,,,,,,
356,卷六十四,漢紀五十六,,,,,,
357,卷六十五,漢紀五十七,,,,,,
358,卷六十六,漢紀五十八,,,,,,
359,卷六十七,漢紀五十九,,,,,,
360,卷六十八,漢紀六十,,,,,,
401,卷六十九,魏紀一,,,,,,
402,卷七十,魏紀二,,,,,,
403,卷七十一,魏紀三,,,,,,
404,卷七十二,魏紀四,,,,,,
405,卷七十三,魏紀五,,,,,,
406,卷七十四,魏紀六,,,,,,
407,卷七十五,魏紀七,,,,,,
408,卷七十六,魏紀八,,,,,,
409,卷七十七,魏紀九,,,,,,
410,卷七十八,魏紀十,,,,,,
501,卷七十九,晉紀一,,,,,,
502,卷八十,晉紀二,,,,,,
503,卷八十一,晉紀三,,,,,,
504,卷八十二,晉紀四,,,,,,
505,卷八十三,晉紀五,,,,,,
506,卷八十四,晉紀六,,,,,,
507,卷八十五,晉紀七,,,,,,
508,卷八十六,晉紀八,,,,,,
509,卷八十七,晉紀九,,,,,,
510,卷八十八,晉紀十,,,,,,
511,卷八十九,晉紀十一,,,,,,
512,卷九十,晉紀十二,,,,,,
513,卷九十一,晉紀十三,,,,,,
514,卷九十二,晉紀十四,,,,,,
515,卷九十三,晉紀十五,,,,,,
516,卷九十四,晉紀十六,,,,,,
517,卷九十五,晉紀十七,,,,,,
518,卷九十六,晉紀十八,,,,,,
519,卷九十七,晉紀十九,,,,,,
520,卷九十八,晉紀二十,,,,,,
521,卷九十九,晉紀二十一,,,,,,
522,卷一百,晉紀二十二,,,,,,
523,卷一百一,晉紀二十三,,,,,,
524,卷一百二,晉紀二十四,,,,,,
525,卷一百三,晉紀二十五,,,,,,
526,卷一百四,晉紀二十六,,,,,,
527,卷一百五,晉紀二十七,,,,,,
528,卷一百六,晉紀二十八,,,,,,
529,卷一百七,晉紀二十九,,,,,,
530,卷一百八,晉紀三十,,,,,,
531,卷一百九,晉紀三十一,,,,,,
532,卷一百一十,晉紀三十二,,,,,,
533,卷一百一十一,晉紀三十三,,,,,,
534,卷一百一十二,晉紀三十四,,,,,,
535,卷一百一十三,晉紀三十五,,,,,,
536,卷一百一十四,晉紀三十六,,,,,,
537,卷一百一十五,晉紀三十七,,,,,,
538,卷一百一十六,晉紀三十八,,,,,,
539,卷一百一十七,晉紀三十九,,,,,,
540,卷一百一十八,晉紀四十,,,,,,
601,卷一百一十九,宋紀一,,,,,,
602,卷一百二十,宋紀二,,,,,,
603,卷一百二十一,宋紀三,,,,,,
604,卷一百二十二,宋紀四,,,,,,
605,卷一百二十三,宋紀五,,,,,,
606,卷一百二十四,宋紀六,,,,,,
607,卷一百二十五,宋紀七,,,,,,
608,卷一百二十六,宋紀八,,,,,,
609,卷一百二十七,宋紀九,,,,,,
610,卷一百二十八,宋紀十,,,,,,
611,卷一百二十九,宋紀十一,,,,,,
612,卷一百三十,宋紀十二,,,,,,
613,卷一百三十一,宋紀十三,,,,,,
614,卷一百三十二,宋紀十四,,,,,,
615,卷一百三十三,宋紀十五,,,,,,
616,卷一百三十四,宋紀十六,,,,,,
701,卷一百三十五,齊紀一,,,,,,
702,卷一百三十六,齊紀二,,,,,,
703,卷一百三十七,齊紀三,,,,,,
704,卷一百三十八,齊紀四,,,,,,
705,卷一百三十九,齊紀五,,,,,,
706,卷一百四十,齊紀六,,,,,,
707,卷一百四十一,齊紀七,,,,,,
708,卷一百四十二,齊紀八,,,,,,
709,卷一百四十三,齊紀九,,,,,,
710,卷一百四十四,齊紀十,,,,,,
801,卷一百四十五,梁紀一,,,,,,
802,卷一百四十六,梁紀二,,,,,,
803,卷一百四十七,梁紀三,,,,,,
804,卷一百四十八,梁紀四,,,,,,
805,卷一百四十九,梁紀五,,,,,,
806,卷一百五十,梁紀六,,,,,,
807,卷一百五十一,梁紀七,,,,,,
808,卷一百五十二,梁紀八,,,,,,
809,卷一百五十三,梁紀九,,,,,,
810,卷一百五十四,梁紀十,,,,,,
811,卷一百五十五,梁紀十一,,,,,,
812,卷一百五十六,梁紀十二,,,,,,
813,卷一百五十七,梁紀十三,,,,,,
814,卷一百五十八,梁紀十四,,,,,,
815,卷一百五十九,梁紀十五,,,,,,
816,卷一百六十,梁紀十六,,,,,,
817,卷一百六十一,梁紀十七,,,,,,
818,卷一百六十二,梁紀十八,,,,,,
819,卷一百六十三,梁紀十九,,,,,,
820,卷一百六十四,梁紀二十,,,,,,
821,卷一百六十五,梁紀二十一,,,,,,
822,卷一百六十六,梁紀二十二,,,,,,
901,卷一百六十七,陳紀一,,,,,,
902,卷一百六十八,陳紀二,,,,,,
903,卷一百六十九,陳紀三,,,,,,
904,卷一百七十,陳紀四,,,,,,
905,卷一百七十一,陳紀五,,,,,,
906,卷一百七十二,陳紀六,,,,,,
907,卷一百七十三,陳紀七,,,,,,
908,卷一百七十四,陳紀八,,,,,,
909,卷一百七十五,陳紀九,,,,,,
910,卷一百七十六,陳紀十,,,,,,
1001,卷一百七十七,隋紀一,,,,,,
1002,卷一百七十八,隋紀二,,,,,,
1003,卷一百七十九,隋紀三,,,,,,
1004,卷一百八十,隋紀四,,,,,,
1005,卷一百八十一,隋紀五,,,,,,
1006,卷一百八十二,隋紀六,,,,,,
1007,卷一百八十三,隋紀七,,,,,,
1008,卷一百八十四,隋紀八,,,,,,
1101,卷一百八十五,唐紀一,,,,,,
1102,卷一百八十六,唐紀二,,,,,,
1103,卷一百八十七,唐紀三,,,,,,
1104,卷一百八十八,唐紀四,,,,,,
1105,卷一百八十九,唐紀五,,,,,,
1106,卷一百九十,唐紀六,,,,,,
1107,卷一百九十一,唐紀七,,,,,,
1108,卷一百九十二,唐紀八,,,,,,
1109,卷一百九十三,唐紀九,,,,,,
1110,卷一百九十四,唐紀十,,,,,,
1111,卷一百九十五,唐紀十一,,,,,,
1112,卷一百九十六,唐紀十二,,,,,,
1113,卷一百九十七,唐紀十三,,,,,,
1114,卷一百九十八,唐紀十四,,,,,,
1115,卷一百九十九,唐紀十五,,,,,,
1116,卷二百,唐紀十六,,,,,,
1117,卷二百一,唐紀十七,,,,,,
1118,卷二百二,唐紀十八,,,,,,
1119,卷二百三,唐紀十九,,,,,,
1120,卷二百四,唐紀二十,,,,,,
1121,卷二百五,唐紀二十一,,,,,,
1122,卷二百六,唐紀二十二,,,,,,
1123,卷二百七,唐紀二十三,,,,,,
1124,卷二百八,唐紀二十四,,,,,,
1125,卷二百九,唐紀二十五,,,,,,
1126,卷二百一十,唐紀二十六,,,,,,
1127,卷二百一十一,唐紀二十七,,,,,,
1128,卷二百一十二,唐紀二十八,,,,,,
1129,卷二百一十三,唐紀二十九,,,,,,
1130,卷二百一十四,唐紀三十,,,,,,
1131,卷二百一十五,唐紀三十一,,,,,,
1132,卷二百一十六,唐紀三十二,,,,,,
1133,卷二百一十七,唐紀三十三,,,,,,
1134,卷二百一十八,唐紀三十四,,,,,,
1135,卷二百一十九,唐紀三十五,,,,,,
1136,卷二百二十,唐紀三十六,,,,,,
1137,卷二百二十一,唐紀三十七,,,,,,
1138,卷二百二十二,唐紀三十八,,,,,,
1139,卷二百二十三,唐紀三十九,,,,,,
1140,卷二百二十四,唐紀四十,,,,,,
1141,卷二百二十五,唐紀四十一,,,,,,
1142,卷二百二十六,唐紀四十二,,,,,,
1143,卷二百二十七,唐紀四十三,,,,,,
1144,卷二百二十八,唐紀四十四,,,,,,
1145,卷二百二十九,唐紀四十五,,,,,,
1146,卷二百三十,唐紀四十六,,,,,,
1147,卷二百三十一,唐紀四十七,,,,,,
1148,卷二百三十二,唐紀四十八,,,,,,
1149,卷二百三十三,唐紀四十九,,,,,,
1150,卷二百三十四,唐紀五十,,,,,,
1151,卷二百三十五,唐紀五十一,,,,,,
1152,卷二百三十六,唐紀五十二,,,,,,
1153,卷二百三十七,唐紀五十三,,,,,,
1154,卷二百三十八,唐紀五十四,,,,,,
1155,卷二百三十九,唐紀五十五,,,,,,
1156,卷二百四十,唐紀五十六,,,,,,
1157,卷二百四十一,唐紀五十七,,,,,,
1158,卷二百四十二,唐紀五十八,,,,,,
1159,卷二百四十三,唐紀五十九,,,,,,
1160,卷二百四十四,唐紀六十,,,,,,
1161,卷二百四十五,唐紀六十一,,,,,,
1162,卷二百四十六,唐紀六十二,,,,,,
1163,卷二百四十七,唐紀六十三,,,,,,
1164,卷二百四十八,唐紀六十四,,,,,,
1165,卷二百四十九,唐紀六十五,,,,,,
1166,卷二百五十,唐紀六十六,,,,,,
1167,卷二百五十一,唐紀六十七,,,,,,
1168,卷二百五十二,唐紀六十八,,,,,,
1169,卷二百五十三,唐紀六十九,,,,,,
1170,卷二百五十四,唐紀七十,,,,,,
1171,卷二百五十五,唐紀七十一,,,,,,
1172,卷二百五十六,唐紀七十二,,,,,,
1173,卷二百五十七,唐紀七十三,,,,,,
1174,卷二百五十八,唐紀七十四,,,,,,
1175,卷二百五十九,唐紀七十五,,,,,,
1176,卷二百六十,唐紀七十六,,,,,,
1177,卷二百六十一,唐紀七十七,,,,,,
1178,卷二百六十二,唐紀七十八,,,,,,
1179,卷二百六十三,唐紀七十九,,,,,,
1180,卷二百六十四,唐紀八十,,,,,,
1181,卷二百六十五,唐紀八十一,,,,,,
1201,卷二百六十六,後梁紀一,,,,,,
1202,卷二百六十七,後梁紀二,,,,,,
1203,卷二百六十八,後梁紀三,,,,,,
1204,卷二百六十九,後梁紀四,,,,,,
1205,卷二百七十,後梁紀五,,,,,,
1206,卷二百七十一,後梁紀六,,,,,,
1301,卷二百七十二,後唐紀一,,,,,,
1302,卷二百七十三,後唐紀二,,,,,,
1303,卷二百七十四,後唐紀三,,,,,,
1304,卷二百七十五,後唐紀四,,,,,,
1305,卷二百七十六,後唐紀五,,,,,,
1306,卷二百七十七,後唐紀六,,,,,,
1307,卷二百七十八,後唐紀七,,,,,,
1308,卷二百七十九,後唐紀八,,,,,,
1401,卷二百八十,後晉紀一,,,,,,
1402,卷二百八十一,後晉紀二,,,,,,
1403,卷二百八十二,後晉紀三,,,,,,
1404,卷二百八十三,後晉紀四,,,,,,
1405,卷二百八十四,後晉紀五,,,,,,
1406,卷二百八十五,後晉紀六,,,,,,
1501,卷二百八十六,後漢紀一,,,,,,
1502,卷二百八十七,後漢紀二,,,,,,
1503,卷二百八十八,後漢紀三,,,,,,
1504,卷二百八十九,後漢紀四,,,,,,
1601,卷二百九十,後周紀一,,,,,,
1602,卷二百九十一,後周紀二,,,,,,
1603,卷二百九十二,後周紀三,,,,,,
1604,卷二百九十三,後周紀四,,,,,,
1605,卷二百九十四,後周紀五,,,,,,
