索引號,慣用名,通鑑名,通鑑目錄,出處,女性,別稱,姓,名,字,號,氏,謚,生年,卒年,出生月日,去世月日,得位年,失位年,統治政權,從屬政權,生僻度,簡述,記載年,記載年備註,備注
-1,韓終,,,9,,,,,,,,,,,,,,,,,,秦朝方仙道人物,,,
-1,石生,,,9,,,,,,,,,,,,,,,,,,秦朝方仙道人物,,,
-1,蘇菲,,,9,,,,,,,,,,,,,,,,,,淮南八公,,,
-1,李尚,,,9,,,,,,,,,,,,,,,,,,淮南八公,,,
-1,陳由,,,9,,,,,,,,,,,,,,,,,,淮南八公,,,
-1,毛周,,,9,,,,,,,,,,,,,,,,,,淮南八公,,,
-1,晉昌,,,9,,,,,,,,,,,,,,,,,,淮南八公,,,
-1,莊子,諸子,,9,,,,,,,,,,,,,,,,,,道家,,,
-1,鶡冠子,,,9,,,,,,,,,,,,,,,,,,楚國隱士，道家,,,
-1,惠施,,,9,,,,,,,,,,,,,,,,,,名家代表，合縱，莊子好友,,,
-1,尉繚,,,9,,,,,,,,,,,,,,,,,,尉繚子,,,
-1,慎到,,,9,,,,,,,,,,,,,,,,,,慎子,,,
-1,蟣蝨,名人親屬,,9,,,,,,,,,,,,,,,,,,韓襄王子，韓王信父，與韓釐王爭位失敗,,,
-1,司馬蒯聵,,,9,,,,,,,,,,,,,,,,,,趙國劍客，與司馬錯同輩在趙的司馬氏先祖，玄孫或曾孫司馬卬,,,
-1,季心,,,9,,,,,,,,,,,,,,,,,,季布弟，游俠,,,
-1,盧他之,,,9,,,,,,,,,,,,,,,,,,盧綰孫，世襲東胡盧王，-144年歸漢,,,
-1,公孫昆邪,,,9,,,,,,,,,,,,,,,,,,公孫賀祖父，義渠人，文帝時歸漢,,,
-1,鄭君,,,9,,,,,,,,,,,,,,,,,,原項羽部下，不服劉邦讓所有人稱呼項羽名被驅逐。鄭當時父,,,
-1,李季,,,9,,,,,,,,,,,,,,,,,,李延年弟，因淫亂被滅族,,,
-1,越女,眾女,,9,,,,,,,,,,,,,,,,,,越處女，善劍術，習於袁公。吳越春秋記載,,,
-1,鐘離春,,,9,,,,,,,,,,,,,,,,,,齊宣王后，無鹽,,,
-1,宿瘤女,,,9,,,,,,,,,,,,,,,,,,齊湣王后,,,
-1,虞姬,,,9,,,,,,,,,,,,,,,,,,項羽妃,,,
-1,毛蘋,,,9,,,,,,,,,,,,,,,,,,吳芮妃，上邪作者（大概率杜撰）,,,
-1,許負,,,9,,,,,,,,,,,,,,,,,,女相師,,,
-1,劉陵,,,9,,,,,,,,,,,,,,,,,,淮南王劉安女，口辯，間諜，與張次公通姦,,,
-1,辛追,考古發掘,,9,,,,,,,,,,,,,,,,,,-217至-168，馬王堆1號,,,
-1,利蒼,,,9,,,,,,,,,,,,,,,,,,0至-185，馬王堆2號，長沙王吳臣丞相,,,
-1,利豨,,,9,,,,,,,,,,,,,,,,,,利蒼辛追子，馬王堆3號,,,
-1,竇綰,,,9,,,,,,,,,,,,,,,,,,劉勝妻竇綰，墓出長信宮燈,,,
-1,龍陽君,男寵,,9,,,,,,,,,,,,,,,,,,魏安釐王男寵，龍陽之好來源,,,
-1,籍儒,,,9,,,,,,,,,,,,,,,,,,刘邦男宠,,,
-1,闳儒,,,9,,,,,,,,,,,,,,,,,,惠帝男宠,,,
-1,宦官赵同,,,9,,,,,,,,,,,,,,,,,,文帝男宠,,,
-1,北宫伯子,,,9,,,,,,,,,,,,,,,,,,文帝男宠,,,
-1,韓嫣,,,9,,,,,,,,,,,,,,,,,,漢武帝男寵,,,
-1,黃石公,仙人半仙,,9,,,,,,,,,,,,,,,,,,傳張良兵法,,,
-1,赤松子,,,9,,,,,,,,,,,,,,,,,,秦漢傳說仙人，張良自稱從游,,,通鑒提及，不錄
-1,王子喬,,,9,,,,,,,,,,,,,,,,,,秦漢傳說仙人，周靈王太子，與赤松子并列為長生不老代表,,,
-1,太一,,,9,,,,,,,,,,,,,,,,,,太一神,,,通鑒提及，不錄
1,周威烈王,威烈王,10101,,,,姬,午,,,,威烈,0,-402,,,-425,-402,東周,,,東周第20代君主，在位期間三家分晉,,,
2,魏文侯,魏斯|魏文侯|文侯,10101,,,魏斯,,斯,,,魏,文,0,-396,,,-445,-396,魏國,,,魏國開國君主，李悝變法，滅中山,,,
3,趙烈侯,趙籍|烈侯,10101,,,趙籍,,籍,,,趙,烈,0,-400,,,-408,-400,趙國,,,趙國開國君主,,,
4,韓景侯,韓虔,10101,,,韓虔,,虔,,,韓,景,0,-400,,,-408,-400,韓國,,,韓國開國君主,,,
5,司馬光,光,10101,1,,涑水先生|司馬溫公,司馬,光,君實,迂叟,,文正,1019,1086,11.17,10.11,,,,北宋,,宋仁宗至哲宗大臣，資治通鑑主編,,,
6,周文王,文王|文|周文王,10101,1,,,姬,昌,,,,文,-1125,-1051,,,,,,商朝,,紂王三公，推演周易，為武王伐紂奠定基礎,,,
7,孔子,孔子|仲尼|孔,10101,1,,,子,丘,仲尼,,孔,至聖先師,-551,-479,9.28,4.11,,,,魯國,,開創儒家學派,,,
8,桀,桀|夏桀,10101,1,,,姒,履癸,,,夏后,桀,0,0,,,,,夏朝,,,夏朝末代君主,,,
9,帝辛,紂|商紂|殷紂,10101,1,,紂王,子,受|受德,,,,紂,0,-1046,,,-1075,-1047,商朝,,,商朝末代君主,,,
10,商湯,湯|成湯,10101,1,,湯|成湯,子,履,,,,,0,0,,,,,商朝,,,商朝開國君主,,,16??-15??
11,周武王,武|武王,10101,1,,,姬,發,,,,武,-1110,-1043,,,-1046,-1043,西周,,,西周開國君主，滅商,,,
12,微子,微子|微子開,10101,1,,微子啟,子,啟,,,,,0,0,,,,,,商朝|西周,,宋國開國君主，紂長兄，棄商從周,,,
13,季札,季札,10101,1,,延陵季子,姬,札,,,,,0,0,,,,,,吳國,,吳國王室，死活不上位,,,
14,泰伯,太伯,10101,1,,吳太伯,姬,泰伯,,,吳,,0,0,,,,,吳國,,,吳國首任君主,,,
15,仲叔于奚,仲叔于奚,10101,1,,,仲叔,于奚,,,,,0,0,,,,,,衛國,1,拒絕封地要當官,,,
16,衛出公,衛君,10101,1,,,姬,輒,,,,出,0,-456,,,-493,-481,衛國,,,衛國第29代君主,,,-477至-470復位
17,周幽王,幽,10101,1,,,姬,宮涅,,,,幽,0,-771,,,-782,-771,西周,,,西周末代君主,,,
18,周厲王,厲,10101,1,,,姬,胡,,,,厲,-890,-828,,,-877,-828,西周,,,西周第10代君主,,,
19,晉文公,晉文公|文|晉文,10101,1,,,姬,重耳,,,晉,文,-697,-628,,10.27,-636,-628,晉國,,,春秋五霸之二,,,
20,周襄王,襄王,10101,1,,,姬,鄭,,,,襄,0,-619,,,-652,-619,東周,,,東周第6代君主,,,
21,季成子,季氏,10101,1,,季友,姬,友,,,,成,0,-644,,,,,,魯國,,三桓之一,,,
22,田成子,田常|陳成子,10101,1,,陳恆|田常|田恆,媯,恆,,,田,成,0,0,,,,,,齊國,,田氏代齊奠基者，色魔兼綠帽王,,,
23,白公勝,白公|白公勝,10101,1,,,羋,勝,,,熊,,0,-479,,,,,,楚國,,發動白公勝之亂,,,
24,齊桓公,桓|齊桓公|桓公,10101,1,,,姜,小白,,,齊,桓,0,-643,,10.7,-685,-643,齊國,,,春秋五霸之一,,,
25,荀申,智宣子,10102,3,,智宣子,,申,,,智,宣,0,0,,,,,,晉國,,智氏第六代家主,,,
26,荀瑤,智伯|瑤|智襄子|智伯瑤,10102,3,,智伯|智瑤|智襄子,,瑤,,,智,襄,0,-453,,,,,,晉國,,智氏末代家主,,,
27,知果,智果|輔果,10102,3,,智果|輔果,,果,,,智,,0,0,,,,,,晉國,,智伯軍師，開創輔氏,,,
28,知宵,宵,10102,3,,智宵,,宵,,,智,,0,0,,,,,,晉國,,智伯哥,,,
29,趙簡子,趙簡子,10102,3,,趙鞅,,鞅,,,趙,簡,0,-476,,,,,,晉國,,簡襄之烈，春秋趙氏領袖,,,
30,趙伯魯,伯魯,10102,3,,,,伯魯,,,趙,,0,0,,,,,,晉國,,趙襄子哥，資質平庸,,,
31,趙襄子,無恤|趙襄子|襄子,10102,3,,趙無恤,,無恤|毋恤,,,趙,襄,0,-444,,,,,,晉國,,簡襄之烈，春秋趙氏領袖，滅智氏,,,
32,尹鐸,尹鐸,10102,3,,,,鐸,,,尹,,0,0,,,,,,晉國,1,趙簡子家臣，治晉陽留退路,,,
33,韓康子,韓康子|康子,10102,3,,韓虎,,虎,,,韓,康,0,0,,,,,,晉國,,春秋韓氏領袖，滅智氏,,,
34,魏桓子,魏桓子|桓子,10102,3,,,,駒,,,魏,桓,0,-446,,,,,,晉國,,春秋魏氏領袖，滅智氏,,,
35,段規,段規,10102,3,,,姬,規,,,段,,0,0,,,,,,晉國,,韓康子策士,,,
36,智國,智國,10102,3,,,,國,,,智,,0,0,,,,,,晉國,,勸諫智伯,,,
37,任章,任章,10102,3,,趙葭,,章,,,任,,0,0,,,,,,晉國,,魏桓子家臣,,,
38,絺疵,絺疵,10102,3,,,,疵,,,絺,,0,0,,,,,,晉國,1,智伯謀士，不為用,,,
39,張孟談,張孟談,10102,3,,,姬,孟談,,,張,,0,0,,,,,,晉國,,趙襄子家臣,,,
40,豫讓,豫讓,10103,3,,,,,,,,,0,-445,,,,,,晉國,,智伯家臣，刺趙襄子,,,
41,趙周,代成君,10104,,,代成君,,周,子起,,趙,,0,0,,,,,,晉國,,趙伯魯子,,,
42,趙獻子,浣|獻子,10104,,,趙浣|趙獻侯,,浣,,,趙,獻,0,-409,,,-423,-409,趙國,,,戰國趙氏領袖，第7代,,,
43,趙桓子,桓子,10104,,,,,嘉,,,趙,桓,0,-424,,,-442,-424,趙國,,,戰國趙氏領袖，第8代,,,在位時間有爭議
44,子夏,卜子夏,10105,,,卜商,,商,子夏,,卜,,-507,0,,,,,,魏國,,孔門十哲，學而優則仕，李悝吳起老師,,,
45,田子方,田子方|子方,10105,,,,,子方,,,田,,0,0,,,,,,魏國,,儒家，子貢學生,-403,,
46,段干木,段干木,10105,,,,,木,,,段干,,0,0,,,,,,魏國,,儒家，子夏學生,-403,,
47,樂羊,樂羊,10105,,,,,羊,,,樂,,0,0,,,,,,魏國,,魏名將，滅中山，食子,-403,,東漢樂羊子妻為重名人物，此樂羊食子
48,魏武侯,繫|子繫|太子繫|武侯|魏武侯,10105,,,魏武侯,,繫,,,魏,武,0,-370,,,-395,-370,魏國,,,魏國第2代君主,,,
49,任座,任座,10105,,,,,座,,,任,,0,0,,,,,,魏國,1,魏文侯謀士，耿直,-403,,
50,翟璜,翟璜|璜,10105,,,,,璜,,,翟,,0,0,,,,,,魏國,,魏國國相，人力大牛,-403,,
51,李悝,李克,10105,,,李克,,悝,,,李,,-455,-395,,,,,,魏國,,李悝變法,,,
52,魏成,成|魏成,10105,,,季成|魏成子,,成,,,魏,,0,0,,,,,,魏國,,魏文侯弟,-403,,
53,吳起,吳起|起|吳公|吳,10105,,,,,起,,,吳,,-440,-381,,,,,,衛國|魯國|魏國|楚國,,在魏創魏武卒制，奪秦河西之地；在楚發動吳起變法。愛士卒,,,
54,西門豹,西門豹,10105,,,,,豹,,,西門,,0,0,,,,,,魏國,,治鄴，開十二渠,-403,,
55,屈侯鮒,屈侯鮒,10105,,,,,鮒,,,屈侯,,0,0,,,,,,魏國,2,魏文侯太子傅,-403,,
56,魯穆公,魯侯|魯穆公,10106,,,,姬,顯,,,,,0,-377,,,-415,-377,魯國,,,魯國第29代君主，禮賢下士,,,
57,曾申,曾參,10106,,,,,申,,,曾,,0,0,,,,,,魯國,1,曾參二子,-403,,通鑒記錄錯誤，吳起應師從曾申
58,司馬穰苴,司馬穰苴,10106,3,,田穰苴,媯,穰苴,,,田,,0,0,,,,,,齊國,,軍事家，著司馬法,,,
59,吳起卒母,卒母,10106,,,,,,,,,,0,0,,,,,,魏國,4,吳起軍中被吮疽卒之母,-403,,
60,燕閔公,燕湣公,10107,,,,姬,,,,燕,閔,0,-415,,,-438,-415,燕國,,,燕國第33代君主,,,通鑒年代不對應
61,燕後簡公,僖公|燕僖公,10107,,,燕僖公|燕簡公,姬,載|款,,,燕,簡,0,-370,,,-414,-370,燕國,,,燕國第34代君主,,,通鑒年代不對應
62,周安王,安王驕,10107,,,,姬,驕,,,,安,0,-376,,,-402,-376,東周,,,東周第21代君主，在位期間田氏代齊,,,
63,楚聲王,楚聲王,10107,,,,羋,當,,,熊,聲桓,0,-402,,,-407,-402,楚國,,,楚國第35代君主，被盜殺,,,
64,楚悼王,悼王|楚悼王|楚王,10107,,,,羋,疑,,,熊,悼,0,-381,,,-401,-381,楚國,,,楚國第36代君主，任用吳起變法,,,
65,韓烈侯,烈侯取,10107,,,,,取,,,韓,烈,0,-387,,,-399,-387,韓國,,,韓國第2代君主,,,
66,趙武侯,武侯,10107,,,趙武公,,,,,趙,武,0,-387,,,-399,-387,趙國,,,趙國第2代君主,,,
67,秦簡公,秦簡公|簡公,10107,,,,嬴,悼子,,,,簡,-428,-400,,,-415,-400,秦國,,,秦國第26代君主,,,
68,秦惠公,惠公,10107,,,,嬴,,,,,惠,0,-387,,,-399,-387,秦國,,,秦國第20代君主,,,
69,王子定,王子定,10107,,,,羋,定,,,,,0,0,,,,,,楚國,2,奔晉，與楚悼王爭位,-399,,
70,駟子陽,駟子陽,10107,,,,姬,,子陽,,駟,,0,-398,,,,,,鄭國,,鄭繻公相邦，被其殺,,,
71,俠累,俠累|韓廆|廆,10108,,,韓傀,,傀,俠累,,韓,,0,-397,,,,,,韓國,,韓相國，被聶政刺殺,,,
72,嚴遂,嚴仲子|仲子|嚴遂,10108,,,,,遂,仲子,,嚴,,0,0,,,,,,韓國,,韓大臣，使聶政刺俠累,-397,,
73,聶政,聶政|政,10108,,,,,政,,,聶,,0,-397,,,,,,韓國,,刺殺韓相俠累,,,
74,聶嫈,嫈,10108,,1,聶榮,,嫈,,,聶,,0,-397,,,,,,韓國,,聶政姐,,,嫈音英
75,鄭繻公,繻公,10109,,,,姬,駘,,,鄭,繻,0,-396,,,-422,-396,鄭國,,,鄭國第23代君主,,,
76,鄭康公,乙|康公,10109,,,,姬,乙,,,鄭,康,0,-375,,,-395,-375,鄭國,,,鄭國末代君主,,,
77,宋悼公,宋悼公,10109,,,,子,購由,,,宋,悼,0,-396,,,-403,-396,宋國,,,宋國第30代君主,,,
78,宋休公,休公田|宋休公,10109,,,,子,田,,,宋,休,0,-373,,,-395,-373,宋國,,,宋國第31代君主,,,
79,晉烈公,晉烈公,10109,,,,,止,,,,烈,0,-389,,,-415,-389,晉國,,,晉國國君,,,
80,晉孝公,孝公|晉孝公,10109,,,,,頎,,,,孝,0,-357,,,-388,-357,晉國,,,晉國國君,,,
81,田襄子,襄子盤|盤,10109,,,田盤,媯,盤,,,田,襄,0,0,,,,,,齊國,,齊相，田氏第9代宗主,,,
82,田莊子,莊子白|白,10109,,,田白,媯,白,,,田,莊,0,-411,,,,,,齊國,,田氏第10代宗主,,,
83,田和,太公和|田和,10109,,,齊太公,媯,和,,,田,太公,0,-384,,,-386,-384,齊國,,,田齊開國君主，放齊康公於海島,,,-404掌權
84,齊康公,齊康公,10109,,,,姜,貸,,,,康,0,-379,,,-405,-386,齊國,,,姜齊末代君主,,,
85,禹,禹|大禹,10110,3,,大禹|夏禹,姒,文命,,,夏后,,0,0,,,,,夏朝,上古,,夏朝開國君王,,,
86,商文,田文,10110,,,田文,,文,,,田,,0,0,,,,,,魏國,,與吳起競爭魏國國相勝出,-387,,與孟嘗君同名，百度無此詞條
87,公叔痤,公叔|公孫痤|公叔痤|痤,10110,,,公叔座,,痤,,,公叔,,0,-360,,,,,,魏國,,魏國國相，排擠吳起，死前薦舉商鞅,,,
88,秦出公,出公|出子,10111,,,秦少主|秦小主,,,,,,,-389,-385,,,-386,-385,秦國,,,秦國第27代君主，4歲被菌改弒,,,出不是諡
89,趙敬侯,太子章|敬侯|趙敬侯,10111,,,,,章,,,趙,敬,-410,-375,,,-386,-375,趙國,,,趙國第3代君主，遷都邯鄲,,,
90,韓文侯,文侯|韓文侯,10111,,,,,猷,,,韓,文,0,-377,,,-386,-377,韓國,,,韓國第3代君主,,,
91,公子朝 (趙國),公子朝,10111,,,,,朝,,,趙,,0,0,,,,,,趙國,,與趙敬侯爭位不成,-386,,
92,菌改,庶長改,10111,,,,,改,,,,,0,0,,,,,,秦國,,殺秦出公，迎立秦獻公,-385,,
93,秦獻公,獻公|秦獻公,10111,,,師隰,,師隰,,,,獻,-424,-362,,,-384,-362,秦國,,,秦國第28代君主，收復河西，遷都櫟陽,,,
94,田午,桓公午,10111,,,齊桓公午|田齊桓公,媯,午,,,田,桓,-400,-357,,,-374,-357,齊國,,,田齊第3代君主，創立稷下學宮,,,完整諡號：田齊孝武桓公
95,楚肅王,肅王|楚肅王,10111,,,,羋,臧,,,熊,肅,0,-370,,,-381,-370,楚國,,,楚國第37代君主,,,
96,齊威王,威王因齊|齊威王|威王|齊王|威,10111,,,,媯,因齊,,,田,威,-378,-320,,,-356,-320,齊國,,,田齊第4代君主，齊國崛起,,,
97,晉靜公,靖公俱酒|晉靖公,10111,,,晉靖公,姬,俱酒,,,,,0,-349,,,-356,-349,晉國,,,晉國末代君主,,,
98,孔伋,子思,10112,,,述聖|子思,子,伋,子思,,孔,,-483,-402,,,,,,魯國,,儒家，上承曾參，下啟孟子,,,
99,苟變,苟變|變,10112,,,,,變,,,苟,,0,0,,,,,,衛國,1,衛國名將，白吃了老百姓倆雞蛋,-377,,
100,衛慎公,衛侯|公|衛慎公,10112,,,,姬,頹,,,,慎,0,-373,,,-415,-373,衛國,,,衛國第37代君主,,,
101,公丘懿子,公丘懿子,10112,,,,,,,,公丘,懿,0,0,,,,,,衛國,2,衛國大臣,-377,,
102,魯穆公,魯穆公,10113,,,,姬,顯,,,魯,穆,0,-377,,,-415,-377,魯國,,,魯國第29代君主,,,
103,魯共公,共公奮|魯共公,10113,,,,姬,奮,,,魯,共,0,-353,,,-382,-353,魯國,,,魯國第30代君主,,,
104,韓哀侯,哀侯,10113,,,,,,,,,哀,0,-374,,,-376,-374,韓國,,,韓國第4代君主，滅亡鄭國，被嚴遂弒,,,
105,周烈王,烈王喜,10113,,,,姬,喜,,,,烈,0,-369,,,-375,-369,東周,,,東周第22代君主,,,
106,趙成侯,成侯種|趙成侯|成侯,10113,,,,嬴,種,,,趙,成,0,-350,,,-374,-350,趙國,,,趙國第4代君主,,,
107,燕後桓公,桓公|燕桓公,10113,,,,,,,,桓,,0,-368,,,-372,-362,燕國,,,燕國第35代君主,,,
108,宋桓公,辟公,10113,,,宋後桓公|辟兵,,辟兵|辟,,,,桓,0,-370,,,-372,-370,宋國,,,宋國第32代君主，戴氏取宋,,,
109,衛聲公,聲公訓|衛聲公,10113,,,,姬,訓,,,,聲,0,-362,,,-373,-362,衛國,,,衛國第38代君主,,,
110,韓共侯,懿侯|韓懿侯,10113,,,韓懿侯,,若山|若,,,韓,共|懿|莊,0,-363,,,-374,-363,韓國,,,韓國第5代君主,,,
111,魏惠王,罃|惠王|魏惠王|梁王|魏王,10113,,,梁惠王|文惠君|魏文惠王,,罃|嬰,,,魏,惠|文惠|惠成,-400,-319,,,-369,-319,魏國,,,魏國第3代君主，徐州相王，在位52年魏國先盛後衰,,,
112,魏緩,公中緩,10113,,,公子緩,,緩,,,魏,,0,0,,,,,,魏國,,與魏惠王爭位失敗,-371,,
113,田種首,即墨大夫|種首,10114,,,,,,,,,,0,0,,,,,,齊國,1,齊威王時期即墨大夫,-370,,
114,楚宣王,良夫|宣王|楚王|楚宣王,10114,,,,羋,良夫,,,熊,宣,0,-340,,,-369,-340,楚國,,,楚國第38代君主，宣威盛世,,,
115,宋剔成君,剔成|宋公剔成,10114,,,戴喜,,喜,子罕,,戴,,0,0,,,-369,-329,宋國,,,宋國第33代君主，廢宋桓公自立,,,
116,周顯王,扁|顯王,10114,,,,姬,扁,,,,顯,0,-321,,,-368,-321,東周,,,東周第23代君主,,,
117,王錯,王錯,10115,,,,,,,,,,0,0,,,,,,魏國,1,魏國大臣，曾譖毀吳起，傳為鬼谷子父,-369,,
118,公孫頎,公孫頎,10115,,,,,頎,,,公孫,,0,0,,,,,,韓國,3,遊說韓懿侯,-369,,
201,衛成侯,成侯速|衛成侯,10201,,,,姬,遫,,,衛,成,0,-343,,,-371,-343,衛國,,,衛國第39代君主，自貶為侯，被魏惠王廢,,,
202,燕後文公,文公|燕文公,10201,,,燕文侯,,,,,,文,0,-333,,,-361,-333,燕國,,,燕國第36代君主,,,
203,秦孝公,孝公|秦孝公|秦王,10202,,,秦平王,嬴,渠梁,,,,孝,-381,-338,,,-361,-338,秦國,,,秦國第29代君主，重用商鞅變法，遷都咸陽,,,
204,秦穆公,穆公,10202,3,,,嬴,任好,,,,穆,-683,-621,,,-659,-621,秦國,,,秦國第9代君主，春秋五霸之一，用百裏奚，平西戎,,,
205,秦厲共公,厲,10202,3,,秦剌龔公|秦利龔公|秦厲公,嬴,,,,,,0,-443,,,-476,-443,秦國,,,秦國第22代君主,,,
206,秦躁公,躁,10202,3,,,嬴,,,,,躁,0,-429,,,-442,-429,秦國,,,秦國第23代君主,,,
207,商鞅,公孫鞅|衛鞅|鞅|商君|商鞅|商,10202,,,,姬,鞅,,,公孫|衛|商,,-390,-338,,,,,,衛國|魏國|秦國,,商鞅變法,,,
208,景監,景監,10202,,,,,,,,景,,0,0,,,,,,秦國,,秦孝公嬖臣，多次推薦商鞅,-361,,
209,甘龍,甘龍,10202,,,,,龍,,,甘,,0,0,,,,,,秦國,,秦國大臣，商鞅變法反對派,-360,,
210,秦惠文王,太子|惠文王|秦王|秦惠王|王|惠王,10202,,,,嬴,駰|駟,,,,惠文,-356,-311,,,-338,-311,秦國,,,秦國第26代君主，稱王，得商於，平巴蜀,,,
211,公子虔,公子虔,10202,,,,嬴,虔,,,,,0,0,,,,,,秦國,,秦惠文王傅，商鞅變法受劓刑,-360,,
212,公孫賈,公孫賈,10202,,,,,,,,,,0,0,,,,,,秦國,,秦惠文王師，商鞅變法受黥刑,-360,,
213,曹沫,曹沫,10202,1,,,,,,,,,0,0,,,,,,魯國,,魯國將軍，挾持齊桓公，疑即曹劌,,,
214,韓昭僖侯,昭侯|韓昭侯,10202,,,韓昭侯|韓釐侯,,武,,,韓,昭僖|昭釐,0,-333,,,-362,-333,韓國,,,韓國第6代君主，重用申不害變法,,,
